manuscript_object,manuscript_value,source_script,source_file,source_variable,notes
Table 3 row 1: Age-only interval,"[-0.04044,\ 0.15093]",python/run_final_diagnostics.py,python/outputs/main_certification_frontier_summary.csv,"policy_ranking_robustness_summary: Age-only current matching, Full maintained support",
Table 3 row 2: Age-only interval,"[-0.00967,\ 0.07886]",python/run_final_diagnostics.py,python/outputs/main_certification_frontier_summary.csv,"policy_ranking_robustness_summary: Age-only current matching, Common support only",
Table 3 row 3: Verified current-cell interval,"[-0.00819,\ -0.00298]",python/run_final_diagnostics.py,python/outputs/main_certification_frontier_summary.csv,maintained_graph.fixed_anchor_interval,
Table 3 row 4: Verified current-cell interval,"[$-\infty$,\ 0.91480]",python/run_final_diagnostics.py,python/outputs/main_certification_frontier_summary.csv,maintained_graph.free_anchor_interval,
Table 3 row 5: Largest common component interval,"[0.00004,\ 0.00082]",python/run_final_diagnostics.py,python/outputs/main_certification_frontier_summary.csv,maintained_graph.largest_common_component_interval,
Table 3 row 6: Unit-rescaled graph interval,"[-0.48701,\ 0.50273]",python/run_final_diagnostics.py,python/outputs/main_certification_frontier_summary.csv,unit_sensitivity_protocol_summary: theta=1.00,
Table 3 row 7: Richer-state system interval,"[-0.03237,\ 0.06770]",python/run_final_diagnostics.py,python/outputs/main_certification_frontier_summary.csv,liquid_illiquid_map_comparison_summary: tercile-plus-earnings interval,
Table 4 rho 0.00%: fixed interval,"[0.65797,\ 0.66309]",python/run_final_diagnostics.py,python/outputs/discount_schedule_frontier_summary.csv,"fixed_lower, fixed_upper",Free-anchor status is Unidentified for every row.
Table 4 rho 0.00%: largest-component interval,"[0.66200,\ 0.66254]",python/run_final_diagnostics.py,python/outputs/discount_schedule_frontier_summary.csv,"largest_lower, largest_upper",
Table 4 rho 2.00%: fixed interval,"[0.26804,\ 0.27311]",python/run_final_diagnostics.py,python/outputs/discount_schedule_frontier_summary.csv,"fixed_lower, fixed_upper",Free-anchor status is Unidentified for every row.
